
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5424e-02      1  EP      2.3199e-02   3.1416e-02
    1  00:00:00   4.5424e-02      2  SN      2.3199e-02   3.1416e-02
    1  00:00:00   4.5393e-02      3  FP      2.3161e-02   3.1416e-02
  134  00:00:00   1.5605e-01      4  UZ      7.8540e-02   3.1416e-02
  291  00:00:01   3.1156e-01      5  UZ      1.5708e-01   3.1416e-02
  447  00:00:01   4.6714e-01      6  UZ      2.3562e-01   3.1416e-02
  603  00:00:02   6.2276e-01      7  UZ      3.1416e-01   3.1416e-02
  759  00:00:03   7.7839e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   4.5424e-02      9  EP      2.3199e-02   3.1416e-02
    1  00:00:03   4.5424e-02     10  BP      2.3199e-02   3.1416e-02
    1  00:00:03   4.5468e-02     11  FP      2.3231e-02   3.1416e-02
    2  00:00:03   4.5468e-02     12  SN      2.3231e-02   3.1416e-02
    2  00:00:03   4.5480e-02     13  FP      2.3224e-02   3.1416e-02
  134  00:00:04   1.5605e-01     14  UZ      7.8540e-02   3.1416e-02
  291  00:00:05   3.1156e-01     15  UZ      1.5708e-01   3.1416e-02
  447  00:00:05   4.6714e-01     16  UZ      2.3562e-01   3.1416e-02
  603  00:00:06   6.2276e-01     17  UZ      3.1416e-01   3.1416e-02
  759  00:00:07   7.7839e-01     18  EP      3.9270e-01   3.1416e-02
