
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.2122e-02      1  EP      4.5906e-02   3.1416e-02
    1  00:00:00   7.2122e-02      2  SN      4.5906e-02   3.1416e-02
    1  00:00:00   7.2075e-02      3  FP      4.5867e-02   3.1416e-02
   53  00:00:00   1.0925e-01      4  SN      6.9531e-02   3.1416e-02
   53  00:00:00   1.0925e-01      5  BP      6.9531e-02   3.1416e-02
  441  00:00:02   4.9338e-01      6  UZ      3.1416e-01   3.1416e-02
  935  00:00:05   9.8675e-01      7  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:05   7.2122e-02      8  EP      4.5906e-02   3.1416e-02
    1  00:00:05   7.2122e-02      9  BP      4.5906e-02   3.1416e-02
    1  00:00:05   7.2218e-02     10  FP      4.5975e-02   3.1416e-02
    2  00:00:05   7.2218e-02     11  SN      4.5975e-02   3.1416e-02
    2  00:00:05   7.2214e-02     12  FP      4.5965e-02   3.1416e-02
   52  00:00:05   1.0926e-01     13  SN      6.9537e-02   3.1416e-02
   52  00:00:05   1.0926e-01     14  BP      6.9537e-02   3.1416e-02
  440  00:00:07   4.9338e-01     15  UZ      3.1416e-01   3.1416e-02
  934  00:00:10   9.8675e-01     16  EP      6.2832e-01   3.1416e-02
