
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.2836e-02      1  EP      3.8480e-02   3.1416e-02
    1  00:00:00   6.2836e-02      2  SN      3.8480e-02   3.1416e-02
    1  00:00:00   6.2797e-02      3  FP      3.8444e-02   3.1416e-02
   99  00:00:01   1.3919e-01      4  UZ      7.8540e-02   3.1416e-02
  194  00:00:01   2.3166e-01      5  SN      1.2882e-01   3.1416e-02
  194  00:00:01   2.3166e-01      6  BP      1.2882e-01   3.1416e-02
  246  00:00:02   2.8326e-01      7  UZ      1.5708e-01   3.1416e-02
  389  00:00:02   4.2623e-01      8  UZ      2.3562e-01   3.1416e-02
  532  00:00:03   5.6894e-01      9  UZ      3.1416e-01   3.1416e-02
  675  00:00:03   7.1154e-01     10  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   6.2836e-02     11  EP      3.8480e-02   3.1416e-02
    1  00:00:04   6.2836e-02     12  BP      3.8480e-02   3.1416e-02
    1  00:00:04   6.2881e-02     13  FP      3.8510e-02   3.1416e-02
    2  00:00:04   6.2881e-02     14  SN      3.8510e-02   3.1416e-02
    2  00:00:04   6.2887e-02     15  FP      3.8503e-02   3.1416e-02
   99  00:00:04   1.3919e-01     16  UZ      7.8540e-02   3.1416e-02
  193  00:00:05   2.3166e-01     17  SN      1.2882e-01   3.1416e-02
  193  00:00:05   2.3166e-01     18  BP      1.2882e-01   3.1416e-02
  245  00:00:05   2.8326e-01     19  UZ      1.5708e-01   3.1416e-02
  389  00:00:06   4.2623e-01     20  UZ      2.3562e-01   3.1416e-02
  532  00:00:06   5.6894e-01     21  UZ      3.1416e-01   3.1416e-02
  675  00:00:07   7.1154e-01     22  EP      3.9270e-01   3.1416e-02
