
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5096e-02      1  EP      2.2877e-02   3.1416e-02
    1  00:00:00   4.5096e-02      2  SN      2.2877e-02   3.1416e-02
    1  00:00:00   4.5049e-02      3  FP      2.2822e-02   3.1416e-02
  142  00:00:01   1.4398e-01      4  UZ      7.8540e-02   3.1416e-02
  293  00:00:01   2.8229e-01      5  SN      1.5433e-01   3.1416e-02
  293  00:00:01   2.8233e-01      6  FP      1.5434e-01   3.1416e-02
  349  00:00:02   2.5029e-01      7  SN      1.3526e-01   3.1416e-02
  349  00:00:02   2.5028e-01      8  FP      1.3521e-01   3.1416e-02
  431  00:00:03   3.0610e-01      9  UZ      1.5708e-01   3.1416e-02
  614  00:00:04   4.8135e-01     10  UZ      2.3562e-01   3.1416e-02
  784  00:00:06   6.5079e-01     11  UZ      3.1416e-01   3.1416e-02
  953  00:00:07   8.1856e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   4.5096e-02     13  EP      2.2877e-02   3.1416e-02
    1  00:00:07   4.5096e-02     14  BP      2.2877e-02   3.1416e-02
    1  00:00:07   4.5155e-02     15  FP      2.2924e-02   3.1416e-02
    2  00:00:08   4.5155e-02     16  SN      2.2924e-02   3.1416e-02
    2  00:00:08   4.5164e-02     17  FP      2.2913e-02   3.1416e-02
  141  00:00:08   1.4398e-01     18  UZ      7.8540e-02   3.1416e-02
  293  00:00:09   2.8230e-01     19  SN      1.5433e-01   3.1416e-02
  293  00:00:10   2.8235e-01     20  FP      1.5434e-01   3.1416e-02
  349  00:00:10   2.5027e-01     21  SN      1.3525e-01   3.1416e-02
  349  00:00:10   2.5029e-01     22  FP      1.3521e-01   3.1416e-02
  431  00:00:11   3.0610e-01     23  UZ      1.5708e-01   3.1416e-02
  614  00:00:12   4.8135e-01     24  UZ      2.3562e-01   3.1416e-02
  784  00:00:13   6.5079e-01     25  UZ      3.1416e-01   3.1416e-02
  952  00:00:14   8.1856e-01     26  EP      3.9270e-01   3.1416e-02
